TIME, FY_5,,
4.98E-02,-213.088943,,
5.00E-02,-213.94411,,
5.02E-02,-214.799277,,
5.04E-02,-215.654444,,
5.06E-02,-216.509611,,
5.08E-02,-217.364778,,
5.10E-02,-218.219945,,
5.12E-02,-219.075111,,
5.14E-02,-219.930278,,
5.16E-02,-220.785445,,
5.18E-02,-221.640612,,
5.20E-02,-222.495779,,
5.22E-02,-223.350946,,
5.24E-02,-224.206113,,
5.26E-02,-225.061279,,
5.28E-02,-225.916446,,
5.30E-02,-226.771613,,
5.32E-02,-227.62678,,
5.34E-02,-228.481947,,
5.36E-02,-229.337114,,
5.38E-02,-230.192281,,
5.40E-02,-231.047447,,
5.42E-02,-231.902614,,
5.44E-02,-232.757781,,
5.46E-02,-233.612948,,
5.48E-02,-234.468115,,
5.50E-02,-235.323282,,
5.52E-02,-236.178449,,
5.54E-02,-237.033615,,
5.56E-02,-237.888782,,
5.58E-02,-238.743949,,
5.60E-02,-239.599116,,
5.62E-02,-240.454283,,
5.64E-02,-241.30945,,
5.66E-02,-242.164617,,
5.68E-02,-243.019783,,
5.70E-02,-243.87495,,
5.72E-02,-244.730117,,
5.74E-02,-245.585284,,
5.76E-02,-246.440451,,
5.78E-02,-247.295618,,
5.80E-02,-248.150785,,
5.82E-02,-249.005951,,
5.84E-02,-249.861118,,
5.86E-02,-250.716285,,
5.88E-02,-251.571452,,
5.90E-02,-252.426619,,
5.92E-02,-253.281786,,
5.94E-02,-254.136952,,
5.96E-02,-254.992119,,
5.98E-02,-255.847286,,
6.00E-02,-256.702453,,
6.02E-02,-257.55762,,
6.04E-02,-258.412787,,
6.06E-02,-259.267954,,
6.08E-02,-260.12312,,
6.10E-02,-260.978287,,
6.12E-02,-261.833454,,
6.14E-02,-262.688621,,
6.16E-02,-263.543788,,
6.18E-02,-264.398955,,
6.20E-02,-265.254121,,
6.22E-02,-266.109288,,
6.24E-02,-266.964455,,
6.26E-02,-267.819622,,
6.28E-02,-268.674789,,
6.30E-02,-269.529956,,
6.32E-02,-270.385122,,
6.34E-02,-271.240289,,
6.36E-02,-272.095456,,
6.38E-02,-272.950623,,
6.40E-02,-273.80579,,
6.42E-02,-274.660957,,
6.44E-02,-275.516123,,
6.46E-02,-276.37129,,
6.48E-02,-277.226457,,
6.50E-02,-278.081624,,
6.52E-02,-278.936791,,
6.54E-02,-279.791958,,
6.56E-02,-280.647124,,
6.58E-02,-281.502291,,
6.60E-02,-282.357458,,
6.62E-02,-283.212625,,
6.64E-02,-284.067792,,
6.66E-02,-284.922959,,
6.68E-02,-285.778125,,
6.70E-02,-286.633292,,
6.72E-02,-287.488459,,
6.74E-02,-288.343626,,
6.76E-02,-289.198793,,
6.78E-02,-290.05396,,
6.80E-02,-290.909126,,
6.82E-02,-291.764293,,
6.84E-02,-292.61946,,
6.86E-02,-293.474627,,
6.88E-02,-294.329794,,
6.90E-02,-295.184961,,
6.92E-02,-296.040127,,
6.94E-02,-296.895294,,
6.96E-02,-297.750461,,
6.98E-02,-298.605628,,
7.00E-02,-299.460795,,
7.02E-02,-300.315961,,
7.04E-02,-301.171128,,
7.06E-02,-302.026295,,
7.08E-02,-302.881462,,
7.10E-02,-303.736629,,
7.12E-02,-304.591796,,
7.14E-02,-305.446962,,
7.16E-02,-306.302129,,
7.18E-02,-307.157296,,
7.20E-02,-308.012463,,
7.22E-02,-308.86763,,
7.24E-02,-309.722796,,
7.26E-02,-310.577963,,
7.28E-02,-311.43313,,
7.30E-02,-312.288297,,
7.32E-02,-313.143464,,
7.34E-02,-313.998631,,
7.36E-02,-314.853797,,
7.38E-02,-315.708964,,
7.40E-02,-316.564131,,
7.42E-02,-317.419298,,
7.44E-02,-318.274465,,
7.46E-02,-319.129631,,
7.48E-02,-319.984798,,
7.50E-02,-320.839965,,
7.52E-02,-321.695132,,
7.54E-02,-322.550299,,
7.56E-02,-323.405466,,
7.58E-02,-324.260632,,
7.60E-02,-325.115799,,
7.62E-02,-325.970966,,
7.64E-02,-326.826133,,
7.66E-02,-327.6813,,
7.68E-02,-328.536466,,
7.70E-02,-329.391633,,
7.72E-02,-330.2468,,
7.74E-02,-331.101967,,
7.76E-02,-331.957134,,
7.78E-02,-332.8123,,
7.80E-02,-333.667467,,
7.82E-02,-334.522634,,
7.84E-02,-335.377801,,
7.86E-02,-336.232968,,
7.88E-02,-337.088135,,
7.90E-02,-337.943301,,
7.92E-02,-338.798468,,
7.94E-02,-339.653635,,
7.96E-02,-340.508802,,
7.98E-02,-341.363969,,
8.00E-02,-342.219135,,
8.02E-02,-343.074302,,
8.04E-02,-343.929469,,
8.06E-02,-344.784636,,
8.08E-02,-345.639803,,
8.10E-02,-346.494969,,
8.12E-02,-347.350136,,
8.14E-02,-348.205303,,
8.16E-02,-349.06047,,
8.18E-02,-349.915637,,
8.20E-02,-350.770803,,
8.22E-02,-351.62597,,
8.24E-02,-352.481137,,
8.26E-02,-353.336304,,
8.28E-02,-354.191471,,
8.30E-02,-355.046637,,
8.32E-02,-355.901804,,
8.34E-02,-356.756971,,
8.36E-02,-357.612138,,
8.38E-02,-358.467305,,
8.40E-02,-359.322471,,
8.42E-02,-360.177638,,
8.44E-02,-361.032805,,
8.46E-02,-361.887972,,
8.48E-02,-362.743139,,
8.50E-02,-363.598305,,
8.52E-02,-364.453472,,
8.54E-02,-365.308639,,
8.56E-02,-366.163806,,
8.58E-02,-367.018973,,
8.60E-02,-367.874139,,
8.62E-02,-368.729306,,
8.64E-02,-369.584473,,
8.66E-02,-370.43964,,
8.68E-02,-371.294807,,
8.70E-02,-372.149973,,
8.72E-02,-373.00514,,
8.74E-02,-373.860307,,
8.76E-02,-374.715474,,
8.78E-02,-375.570641,,
8.80E-02,-376.425807,,
8.82E-02,-377.280974,,
8.84E-02,-378.136141,,
8.86E-02,-378.991308,,
8.88E-02,-379.846475,,
8.90E-02,-380.701641,,
8.92E-02,-381.556808,,
8.94E-02,-382.411975,,
8.96E-02,-383.267142,,
8.98E-02,-384.122309,,
9.00E-02,-384.977475,,
9.02E-02,-385.832642,,
9.04E-02,-386.687809,,
9.06E-02,-387.542976,,
9.08E-02,-388.398143,,
9.10E-02,-389.253309,,
9.12E-02,-390.108476,,
9.14E-02,-390.963643,,
9.16E-02,-391.81881,,
9.18E-02,-392.673977,,
9.20E-02,-393.529143,,
9.22E-02,-394.38431,,
9.24E-02,-395.239477,,
9.26E-02,-396.094644,,
9.28E-02,-396.94981,,
9.30E-02,-397.804977,,
9.32E-02,-398.660144,,
9.34E-02,-399.515311,,
9.36E-02,-400.370478,,
9.38E-02,-401.225644,,
9.40E-02,-402.080811,,
9.42E-02,-402.935978,,
9.44E-02,-403.791145,,
9.46E-02,-404.646312,,
9.48E-02,-405.501478,,
9.50E-02,-406.356645,,
9.52E-02,-407.211812,,
9.54E-02,-408.066979,,
9.56E-02,-408.922146,,
9.58E-02,-409.777312,,
9.60E-02,-410.632479,,
9.62E-02,-411.487646,,
9.64E-02,-412.342813,,
9.66E-02,-413.197979,,
9.68E-02,-414.053146,,
9.70E-02,-414.908313,,
9.72E-02,-415.76348,,
9.74E-02,-416.618647,,
9.76E-02,-417.473813,,
9.78E-02,-418.32898,,
9.80E-02,-419.184147,,
9.82E-02,-420.039314,,
9.84E-02,-420.894481,,
9.86E-02,-421.749647,,
9.88E-02,-422.604814,,
9.90E-02,-423.459981,,
9.92E-02,-424.315148,,
9.94E-02,-425.170314,,
9.96E-02,-426.025481,,
9.98E-02,-426.880648,,
0.100035625,-427.735815,,
0.100235625,-428.590982,,
0.100435625,-429.446148,,
0.100635625,-430.301315,,
0.100835625,-431.156482,,
0.101035625,-432.011649,,
0.101235625,-432.866816,,
0.101435625,-433.721982,,
0.101635625,-434.577149,,
0.101835625,-435.432316,,
0.102035625,-436.287483,,
0.102235625,-437.142649,,
0.102435625,-437.997816,,
0.102635625,-438.852983,,
0.102835625,-439.70815,,
0.103035625,-440.563317,,
0.103235625,-441.418483,,
0.103435625,-442.27365,,
0.103635625,-443.128817,,
0.103835625,-443.983984,,
0.104035625,-444.83915,,
0.104235625,-445.694317,,
0.104435625,-446.549484,,
0.104635625,-447.404651,,
0.104835625,-448.259818,,
0.105035625,-449.114984,,
0.105235625,-449.970151,,
0.105435625,-450.825318,,
0.105635625,-451.680485,,
0.105835625,-452.535651,,
0.106035625,-453.390818,,
0.106235625,-454.245985,,
0.106435625,-455.101152,,
0.106635625,-455.956319,,
0.106835625,-456.811485,,
0.107035625,-457.666652,,
