TIME, FY_4,
8.70E-02,-555.812367,
8.72E-02,-557.092364,
8.74E-02,-558.372366,
8.76E-02,-559.652372,
8.78E-02,-560.932383,
8.80E-02,-562.212398,
8.82E-02,-563.492418,
8.84E-02,-564.772442,
8.86E-02,-566.052471,
8.88E-02,-567.332504,
8.90E-02,-568.612542,
8.92E-02,-569.892584,
8.94E-02,-571.17263,
8.96E-02,-572.452681,
8.98E-02,-573.732736,
9.00E-02,-575.012796,
9.02E-02,-576.292859,
9.04E-02,-577.572927,
9.06E-02,-578.853,
9.08E-02,-580.133076,
9.10E-02,-581.413157,
9.12E-02,-582.693242,
9.14E-02,-583.973331,
9.16E-02,-585.253425,
9.18E-02,-586.533522,
9.20E-02,-587.813624,
9.22E-02,-589.09373,
9.24E-02,-590.37384,
9.26E-02,-591.653954,
9.28E-02,-592.934072,
9.30E-02,-594.214195,
9.32E-02,-595.494321,
9.34E-02,-596.774451,
9.36E-02,-598.054586,
9.38E-02,-599.334724,
9.40E-02,-600.614866,
9.42E-02,-601.895013,
9.44E-02,-603.175163,
9.46E-02,-604.455317,
9.48E-02,-605.735475,
9.50E-02,-607.015637,
9.52E-02,-608.295803,
9.54E-02,-609.575973,
9.56E-02,-610.856146,
9.58E-02,-612.136323,
9.60E-02,-613.416505,
9.62E-02,-614.69669,
9.64E-02,-615.976879,
9.66E-02,-617.257071,
9.68E-02,-618.537267,
9.70E-02,-619.817468,
9.72E-02,-621.097671,
9.74E-02,-622.377879,
9.76E-02,-623.65809,
9.78E-02,-624.938305,
9.80E-02,-626.218524,
9.82E-02,-627.498746,
9.84E-02,-628.778972,
9.86E-02,-630.059201,
9.88E-02,-631.339434,
9.90E-02,-632.619671,
9.92E-02,-633.899911,
9.94E-02,-635.180155,
9.96E-02,-636.460402,
9.98E-02,-637.740653,
0.100035625,-639.020908,
0.100235625,-640.301166,
0.100435625,-641.581427,
0.100635625,-642.861692,
0.100835625,-644.141961,
0.101035625,-645.422233,
0.101235625,-646.702508,
0.101435625,-647.982787,
0.101635625,-649.263069,
0.101835625,-650.543354,
0.102035625,-651.823643,
0.102235625,-653.103936,
0.102435625,-654.384231,
0.102635625,-655.66453,
0.102835625,-656.944833,
0.103035625,-658.225138,
0.103235625,-659.505447,
0.103435625,-660.78576,
0.103635625,-662.066075,
0.103835625,-663.346394,
0.104035625,-664.626716,
0.104235625,-665.907042,
0.104435625,-667.18737,
0.104635625,-668.467702,
0.104835625,-669.748037,
0.105035625,-671.028376,
0.105235625,-672.308717,
0.105435625,-673.589062,
0.105635625,-674.86941,
0.105835625,-676.149761,
