TIME, UX_2
0.1383, 1.644962403E-03
0.1387, 1.649742165E-03
0.1391, 1.654522017E-03
0.1395, 1.65930196E-03
0.1399, 1.664081994E-03
0.1403, 1.668862118E-03
0.1407, 1.673642332E-03
0.1411, 1.678422637E-03
0.1415, 1.683203032E-03
0.1419, 1.687983517E-03
0.1423, 1.692764091E-03
0.1427, 1.697544756E-03
0.1431, 1.70232551E-03
0.1435, 1.707106353E-03
0.1439, 1.711887286E-03
0.1443, 1.716668307E-03
0.1447, 1.721449418E-03
0.1451, 1.726230618E-03
0.1455, 1.731011907E-03
0.1459, 1.735793284E-03
0.1463, 1.74057475E-03
0.1467, 1.745356305E-03
0.1471, 1.750137948E-03
0.1475, 1.754919679E-03
0.1479, 1.759701498E-03
0.1483, 1.764483405E-03
0.1487, 1.7692654E-03
0.1491, 1.774047483E-03
0.1495, 1.778829653E-03
0.1499, 1.783611911E-03
0.1503, 1.788394256E-03
0.1507, 1.793176689E-03
0.1511, 1.797959209E-03
0.1515, 1.802741816E-03
0.1519, 1.80752451E-03
0.1523, 1.812307291E-03
0.1527, 1.817090159E-03
0.1531, 1.821873113E-03
0.1535, 1.826656155E-03
0.1539, 1.831439282E-03
0.1543, 1.836222496E-03
0.1547, 1.841005796E-03
0.1551, 1.845789183E-03
0.1555, 1.850572655E-03
0.1559, 1.855356213E-03
0.1563, 1.860139858E-03
0.1567, 1.864923588E-03
0.1571, 1.869707404E-03
0.1575, 1.874491305E-03
0.1579, 1.879275292E-03
0.1583, 1.884059364E-03
0.1587, 1.888843522E-03
0.1591, 1.893627765E-03
0.1595, 1.898412093E-03
0.1599, 1.903196506E-03
0.1603, 1.907981004E-03
0.1607, 1.912765587E-03
0.1611, 1.917550254E-03
0.1615, 1.922335006E-03
0.1619, 1.927119843E-03
0.1623, 1.931904765E-03
0.1627, 1.93668977E-03
0.1631, 1.94147486E-03
0.1635, 1.946260035E-03
0.1639, 1.951045293E-03
0.1643, 1.955830636E-03
0.1647, 1.960616063E-03
0.1651, 1.965401573E-03
0.1655, 1.970187167E-03
0.1659, 1.974972846E-03
0.1663, 1.979758607E-03
0.1667, 1.984544453E-03
0.1671, 1.989330382E-03
0.1675, 1.994116394E-03
0.1679, 1.99890249E-03
0.1683, 2.003688668E-03
0.1687, 2.008474931E-03
0.1691, 2.013261276E-03
0.1695, 2.018047704E-03
0.1699, 2.022834215E-03
0.1703, 2.02762081E-03
0.1707, 2.032407487E-03
0.1711, 2.037194246E-03
0.1715, 2.041981089E-03
0.1719, 2.046768014E-03
0.1723, 2.051555021E-03
0.1727, 2.056342111E-03
